timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name
2025-11-28T15:55:05.770,20,1444,761,1382.3865546218487,750.781512605042,1418,768,1402,758,-61,-10,-26,7,-42,-3,40.0,119,1424.96542202548,760.175417268683,1435.38107400539,774.8933080402651,1439.040104271056,778.1979577456623,Liu Jiaqi
2025-11-28T15:55:12.184,10,1758,184,1738.4117647058824,205.64705882352945,1742,195,1752,180,-19,21,-16,11,-6,-4,32.01,119,1747.2741478197197,179.71533976952162,1741.0,132.0,1742.8789211374913,192.0249180362713,Liu Jiaqi
2025-11-28T15:55:18.580,21,691,472,696.2436974789916,500.8655462184874,694,495,687,511,5,28,3,23,-4,39,33.24,119,688.1414616065857,507.7274128347759,690.7335754915382,495.7208133547979,696.1908362332315,491.8791997771143,Liu Jiaqi
2025-11-28T15:55:24.989,14,1354,755,1300.6302521008404,757.4117647058823,1337,776,1322,768,-53,2,-17,21,-32,13,34.81,119,1345.1222100102711,771.3118663392129,1353.8529920352887,780.7132343324068,1361.2671749850115,787.0304796743642,Liu Jiaqi
2025-11-28T15:55:31.395,23,163,132,171.88135593220338,180.2627118644068,157,161,124,140,8,48,-6,29,-39,8,29.64,118,141.66839017643252,160.04096671491993,163.0,132.0,151.690573444545,149.5676337273899,Liu Jiaqi
2025-11-28T15:55:37.799,24,775,552,772.8632478632478,562.8547008547008,776,563,770,578,-2,10,1,11,-5,26,32.73,117,773.3896757855308,575.5617596249649,774.4032573037716,566.7330074021644,776.9750119727355,561.0815521591095,Liu Jiaqi
2025-11-28T15:55:44.213,0,990,779,986.1512605042016,738.546218487395,1009,757,1005,761,-3,-40,19,-22,15,-18,30.16,119,1016.1891379075323,764.5066512688154,1015.5239357486013,765.5382829526097,1017.7005779884776,764.0617881367086,Liu Jiaqi
2025-11-28T15:55:50.613,3,1056,565,1039.9,553.2583333333333,1055,559,1046,563,-16,-11,-1,-6,-10,-2,27.1,120,1062.1127579176095,560.4712213429782,1061.826575734448,562.766519571226,1055.65203351617,561.5785712391817,Liu Jiaqi
2025-11-28T15:55:57.021,30,1272,866,1248.142857142857,855.1848739495798,1291,877,1282,872,-23,-10,19,11,10,6,27.29,119,1299.4807126819003,877.7238988119447,1316.1930130299208,885.0120463697755,1326.1794156323613,892.2779235369021,Liu Jiaqi
2025-11-28T15:56:03.426,19,627,108,600.6050420168067,152.45378151260505,594,125,598,126,-26,44,-33,17,-29,18,23.22,119,585.0528025910986,128.41066578681114,689.0,132.0,593.2038253699291,125.6250718785848,Liu Jiaqi
2025-11-28T15:56:09.831,15,309,974,309.9736842105263,954.6666666666666,319,994,331,1012,0,-19,10,20,22,38,36.47,114,320.1057354042621,1005.7694898886095,339.228035162113,1006.6478139368952,328.98321293187894,1003.1580247441054,Liu Jiaqi
2025-11-28T15:56:16.239,16,650,823,646.9464285714286,836.0982142857143,632,871,667,875,-3,13,-18,48,17,52,44.36,112,650.0669959040623,880.8178817566281,639.2197573042982,888.1699245604789,632.0376149945308,894.2710864391054,Liu Jiaqi
2025-11-28T15:56:22.643,17,1538,502,1511.6016949152545,558.3135593220339,1530,549,1518,553,-26,56,-8,47,-20,51,28.13,118,1538.267996885804,549.840840982711,1541.434323502856,542.0635828146924,1538.5584491318232,539.2028302167522,Liu Jiaqi
2025-11-28T15:56:29.058,11,104,945,101.16101694915254,912.8050847457628,120,943,93,968,-2,-32,16,-2,-11,23,47.1,118,114.50127155085268,956.3592242523134,163.0,1060.0,143.9244519917764,953.996532089291,Liu Jiaqi
2025-11-28T15:56:35.472,6,637,442,642.2796610169491,451.6271186440678,636,443,629,457,5,9,-1,1,-8,15,33.15,118,628.9933659045687,453.8011146490549,633.4090686951308,444.1295318030685,639.373329604714,439.6861815228391,Liu Jiaqi
2025-11-28T15:56:41.879,26,856,210,842.6302521008404,239.9579831932773,843,228,847,226,-13,29,-13,18,-9,16,28.4,119,841.5228807858113,223.54870039339602,844.5420358020649,224.41094035867454,844.660438205995,225.88878473791885,Liu Jiaqi
2025-11-28T15:56:48.294,25,157,489,194.21008403361344,516.6974789915967,137,533,142,524,37,27,-20,44,-15,35,30.99,119,161.6737822576629,528.997617662064,163.0,527.5791478452375,121.70271789894446,539.0297746213747,Liu Jiaqi
2025-11-28T16:13:31.953,22,647,867,648.5052631578948,812.8421052631579,626,831,617,856,1,-54,-21,-36,-30,-11,37.9,95,612.1423583455605,851.2654154172731,611.6540133071182,851.7017688322006,622.2137458389451,856.5604291133217,Liu Jiaqi
2025-11-28T16:13:38.360,12,1678,573,1685.1958762886595,581.2783505154639,1688,555,1705,557,7,8,10,-18,27,-16,26.57,97,1706.7280570968253,554.3655130435034,1691.958914805206,531.5645827871302,1715.4478532882265,527.2260434806968,Liu Jiaqi
2025-11-28T16:13:44.760,29,461,354,439.48936170212767,381.7872340425532,410,383,395,374,-21,27,-51,29,-66,20,36.01,47,396.00070909859215,378.5508521259719,395.108756762457,382.18423172489713,394.40602302676047,383.00038876566083,Liu Jiaqi
2025-11-28T16:13:51.171,6,731,877,765.4137931034483,808.0459770114943,752,823,743,849,34,-68,21,-54,12,-28,34.81,87,738.8179077040584,845.0119855806357,745.1490259435533,840.5255022971104,745.9095006657086,841.8062103470036,Liu Jiaqi
2025-11-28T16:13:57.577,8,1138,762,1147.5607476635514,707.9345794392524,1148,721,1145,728,9,-54,10,-41,7,-34,28.98,107,1148.793882379682,730.0987998902908,1145.2178720541554,728.9618595345432,1148.6646444455394,727.5706932450604,Liu Jiaqi
2025-11-28T16:14:03.982,10,275,294,319.4807692307692,309.2692307692308,294,306,271,287,44,15,19,12,-4,-7,27.42,104,272.99527256103306,297.715362119806,276.349283909252,296.8056680586123,264.4262870145839,296.74803448903054,Liu Jiaqi
2025-11-28T16:14:10.389,4,1059,236,1056.9622641509434,237.7735849056604,1057,221,1051,229,-2,1,-2,-15,-8,-7,35.92,106,1051.722884924417,225.3490569418492,1055.4718359297942,221.25351539012252,1043.9522486698552,222.65411850109834,Liu Jiaqi
2025-11-28T16:14:16.798,28,226,782,276.1566265060241,750.8072289156627,241,767,214,780,50,-31,15,-15,-12,-2,32.63,83,217.7223395111311,779.8422383440028,214.07774062134567,776.2913266417878,226.8036431896728,776.7744678151419,Liu Jiaqi
2025-11-28T16:14:23.199,19,1066,926,1038.2521739130434,884.695652173913,1034,907,1038,923,-27,-41,-32,-19,-28,-3,34.59,115,1034.5546162884411,923.6314586882029,1032.218402800949,925.5780477669539,1036.2275298015627,925.4361426955232,Liu Jiaqi
2025-11-28T16:14:29.605,5,1373,868,1362.563025210084,827.8991596638656,1383,848,1378,841,-10,-40,10,-20,5,-27,44.29,119,1381.1521603399449,844.7046352655028,1393.0587140920622,856.3887895917705,1379.2638350143661,862.7662591497358,Liu Jiaqi
2025-11-28T16:14:36.010,25,561,466,605.1260504201681,437.96638655462186,581,440,569,442,44,-28,20,-26,8,-24,32.19,119,569.7084375046695,441.68080705388206,572.4996529734682,440.2413955259963,569.2785131418136,442.23378162442424,Liu Jiaqi
2025-11-28T16:14:42.419,18,1741,596,1708.121739130435,579.8608695652174,1710,551,1729,553,-32,-16,-31,-45,-12,-43,33.75,115,1730.5706588816934,550.7128147495533,1716.6703702348539,526.0221859795679,1739.5342990258075,522.5388370600707,Liu Jiaqi
