target_x,target_y,original_gaze_x,original_gaze_y,sim_rbf_gaze_x,sim_rbf_gaze_y
622,851,627.4117647058823,817.4957983193277,621.5244383079714,844.9590227649919
1471,548,1391.0420168067226,668.09243697479,1474.4505600978507,609.6941006806343
1390,197,1408.5126050420167,352.9747899159664,1394.1742000429128,217.1481326836889
1384,719,1406.495652173913,683.2869565217392,1383.5638025350768,737.8733354615042
1800,361,1739.7478260869566,418.60869565217394,1800.5719047962857,381.4990993300844
983,951,966.5210084033612,992.4285714285714,919.591417463084,997.8394544915734
116,616,99.18487394957984,642.09243697479,66.581561694642,643.9860660019746
860,960,889.4117647058823,925.2,866.7632110223068,952.7761040430186
1187,873,1194.0869565217392,903.4173913043478,1172.251337636584,960.9741768858524
756,973,720.1181818181818,777.4363636363636,740.8701228646663,866.6685608676843
971,897,916.8125,826.4017857142857,951.1205386386496,863.4276693673253
691,218,665.8571428571429,207.73949579831933,657.6496848132159,223.40195644040955
507,351,483.8205128205128,338.6666666666667,458.3072885276295,336.04133102652344
1068,563,1039.1238938053098,491.0353982300885,1074.012684802413,544.7348994599968
1281,347,1249.2941176470588,392.11764705882354,1271.008427909254,379.65271211856606
1053,914,1043.798245614035,880.0350877192982,1040.4664662239672,921.9047769645084
529,714,568.3135593220339,603.1949152542373,514.517145335832,645.9753196171714
1637,262,1618.3583333333331,324.8583333333333,1615.085054072805,268.4118464753464
163,545,144.8235294117647,543.9159663865546,145.63159426150207,533.8743240823263
1610,135,1646.6,152.69166666666666,1655.3572406272422,125.15197166096216
331,611,281.5603448275862,577.3362068965517,278.8249598756418,608.7150534354208
311,325,299.244094488189,366.3070866141732,300.76527061589945,391.0254226214348
228,326,259.1949152542373,364.33898305084745,246.23901850979112,350.49107891827043
190,864,181.92307692307693,724.3846153846154,238.5030991950208,751.2667952153088
1538,502,1511.6016949152545,558.3135593220339,1538.267996885804,549.840840982711
1265,978,1155.7837837837835,976.3153153153152,1241.2232402062848,1001.6147576245596
249,236,245.32773109243695,253.03361344537817,232.04473094323143,239.22135258986103
1755,365,1778.3333333333333,452.9122807017544,1876.3937046178503,379.52125136033567
435,455,442.9734513274336,420.34513274336285,439.9784072963308,403.4220176536707
561,910,574.7647058823529,898.3613445378152,533.6193532817057,970.8806927956826
1089,977,1106.0176991150445,855.0088495575221,1080.7567324368906,880.816522152233
460,622,466.4406779661017,628.5338983050848,458.55005166470625,654.7872772021602
532,772,449.2796610169492,728.1186440677966,463.593937378669,776.5306522037132
996,952,988.75,871.2410714285714,963.44926766997,945.86136271138
1557,938,1517.4299065420562,886.9906542056075,1499.934199284227,925.2582877084744
385,535,310.24528301886795,478.0754716981132,376.3268289504198,529.3910206968291
1723,399,1676.3304347826088,311.88695652173914,1693.733068840386,324.2034290780456
1416,493,1413.3428571428572,421.6857142857143,1398.259077656195,424.2945919668968
568,508,558.1916666666667,498.1666666666667,545.9203038905973,507.1843698231258
708,533,769.5641025641025,498.8034188034188,721.0155156341749,569.1091582404845
1288,431,1228.7787610619469,457.3982300884956,1279.6595900604366,439.034108537988
537,797,527.0598290598291,715.3846153846154,578.6514710202758,745.7101613291716
