timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-27T16:49:41.511,21,1215,1060,1139.2478632478633,1167.905982905983,1196,1207,1276,1278,-75,107,-19,147,61,218,37.96,117,1218.825629041144,1248.7663964807305,1215.0,1060.0,1236.5395444063909,1229.0308164990809,subject_006,131.84114444823626,False
2025-11-27T16:49:54.315,20,949,515,979.0338983050848,544.7203389830509,970,547,967,522,30,29,21,32,18,7,34.05,118,975.1466791194576,532.7755739391044,973.2906434501568,549.2510383181375,970.0672128700568,541.0494920402048,subject_006,42.253208122787875,False
2025-11-27T16:50:19.952,19,1478,828,1481.5086206896551,966.5,1516,961,1585,1016,3,138,38,133,107,188,47.15,116,1563.3810445915517,1002.7109532279488,1575.1139355654002,1012.2786882360658,1571.3048856243008,988.2175986660956,subject_006,138.5444348183783,False
2025-11-27T16:50:26.345,30,952,364,950.295652173913,433.89565217391305,934,418,931,395,-1,69,-18,54,-21,31,38.09,115,938.109013331437,404.7643228356602,934.092741615333,417.9034420467728,935.2549487025054,409.7554146825262,subject_006,69.91642864398126,False
2025-11-27T17:03:26.365,23,163,596,146.09565217391304,604.7217391304348,121,598,118,600,-16,8,-42,2,-45,4,29.38,115,124.91002570022113,605.500020290813,163.0,604.5022386884712,114.96208336603095,602.748832193852,subject_006,19.021716770173203,False
2025-11-27T17:03:45.581,7,952,828,902.7264957264956,815.9316239316239,924,862,934,880,-49,-12,-28,34,-18,52,42.3,117,933.956224993934,897.3951500750361,936.8416011042438,903.4730746328324,935.2853504552354,910.308672823832,subject_006,50.72991153470315,False
2025-11-27T17:03:58.379,6,689,132,644.6495726495726,160.92307692307693,661,133,669,141,-44,28,-28,1,-20,9,33.69,117,662.6310525971529,125.28639494952212,667.1280339581066,132.0,664.4526922718811,124.00611457505876,subject_006,52.94813296863036,False
2025-11-27T17:05:34.471,25,689,1060,621.8,993.9666666666668,637,1079,656,1095,-67,-66,-52,19,-33,35,44.18,120,643.8237368365444,1091.5545859828812,660.2332434654531,1060.0,636.8671084162406,1099.4966859680965,subject_006,94.2138053106396,False
2025-11-27T17:21:22.299,9,1478,364,1379.9579831932774,517.655462184874,1425,464,1441,399,-98,153,-53,100,-37,35,39.25,119,1448.0424414031752,409.5630814577358,1451.8346699295237,413.1454819163689,1459.9633495029796,402.14624790379696,subject_006,182.26968513380635,False
2025-11-27T17:22:07.144,27,163,1060,-2.1333333333333333,968.1,91,1020,116,1034,-165,-91,-72,-40,-47,-26,44.32,120,116.32243213474298,1031.15180668163,163.0,1060.0,140.4822733457426,1023.2915861713714,subject_006,188.9831415173792,False
